year,semester,Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
2015,fall,Cosmetology,COSM,10A,VAUGHN C L,9,6,5,2,,,,,,7,,29
2015,fall,Cosmetology,COSM,10B,VAUGHN C L,6,5,3,5,6,,,,,4,,29
2015,fall,Cosmetology,COSM,10B,VAUGHN C L,6,4,6,3,1,,,,,17,,37
2015,fall,Cosmetology,COSM,10B,IJAMES S V,9,8,4,,1,,,,,3,,25
2015,fall,Cosmetology,COSM,11A,ROGERS JR J,15,3,2,,,,,,,7,,27
2015,fall,Cosmetology,COSM,11A,LEDONNE H,4,4,7,1,3,,,,,7,,26
2015,fall,Cosmetology,COSM,11A,LEDONNE H,,8,6,,4,,,,,10,,28
2015,fall,Cosmetology,COSM,11B,IJAMES S V,11,4,,,1,,,,,12,,28
2015,fall,Cosmetology,COSM,11B,PERRET D M,4,5,7,2,5,,,,,10,,33
2015,fall,Cosmetology,COSM,11B,PERRET D M,5,6,5,2,3,,,,,5,,26
2015,fall,Cosmetology,COSM,11C,ASSADI J,7,7,6,,4,,,,,3,,27
2015,fall,Cosmetology,COSM,11C,ASSADI J,4,3,8,,5,,,,,5,,25
2015,fall,Cosmetology,COSM,11D,MOISAN A V,26,,,,,,,,,1,,27
2015,fall,Cosmetology,COSM,11D,MOISAN A V,16,,,,,,,,,14,,30
2015,fall,Cosmetology,COSM,11E,YOUNG C P,6,11,,,4,,,,,3,,24
2015,fall,Cosmetology,COSM,11E,YOUNG C P,3,4,2,,2,,,,,15,,26
2015,fall,Cosmetology,COSM,16,ESTRADA FIGUERO I M,3,9,2,,3,,,,,6,,23
2015,fall,Cosmetology,COSM,16,ESTRADA FIGUERO I M,11,3,1,3,,,,,,12,,30
2015,fall,Cosmetology,COSM,18,NUNLEY R M,15,5,,,1,,,,,1,,22
2015,fall,Cosmetology,COSM,18,CEBALLOS B A,11,2,3,,1,,,,,3,,20
2015,fall,Cosmetology,COSM,18,LIM J Y,15,2,3,,,,,,,8,,28
2015,fall,Cosmetology,COSM,18,LIM J Y,8,6,3,1,,,,,,7,,25
2015,fall,Cosmetology,COSM,20,ESTRADA FIGUERO I M,14,6,1,3,,,,,,7,,31
2015,fall,Cosmetology,COSM,20,IJAMES S V,11,7,1,,2,,,,,6,,27
2015,fall,Cosmetology,COSM,20,CEBALLOS B A,16,2,,,1,,,,,9,,28
2015,fall,Cosmetology,COSM,21A,MOISAN A V,17,,,,,,,,,,,17
2015,fall,Cosmetology,COSM,21A,MOISAN A V,16,,,,1,,,,,8,,25
2015,fall,Cosmetology,COSM,21B,ESTRADA FIGUERO I M,10,2,,,1,,,,,6,,19
2015,fall,Cosmetology,COSM,21B,MYERS A M,8,5,6,,2,,,,,2,,23
2015,fall,Cosmetology,COSM,21C,PERRET D M,5,6,3,,4,,,,,4,,22
2015,fall,Cosmetology,COSM,21C,PERRET D M,6,9,3,,1,,,,,1,,20
2015,fall,Cosmetology,COSM,21D,CEBALLOS B A,9,3,,,1,,,,,,,13
2015,fall,Cosmetology,COSM,21D,MYERS A M,8,4,6,1,,,,,,5,,24
2015,fall,Cosmetology,COSM,21E,YOUNG C P,4,4,4,1,,,,,,2,,15
2015,fall,Cosmetology,COSM,21E,YOUNG C P,5,5,5,1,1,,,,,3,,20
2015,fall,Cosmetology,COSM,26,MANUEL S M,8,7,2,,1,,,,,7,,25
2015,fall,Cosmetology,COSM,26,MANUEL S M,3,5,2,1,1,,,,,4,,16
2015,fall,Cosmetology,COSM,28A,LEDONNE H,3,16,7,1,,,,,,2,,29
2015,fall,Cosmetology,COSM,28A,LEDONNE H,7,11,7,1,,,,,,4,,30
2015,fall,Cosmetology,COSM,28B,LIM J Y,12,8,1,1,,,,,,3,,25
2015,fall,Cosmetology,COSM,28B,LIM J Y,13,5,1,,,,,,,5,,24
2015,fall,Cosmetology,COSM,30,IJAMES S V,10,6,2,1,5,,,,,8,,32
2015,fall,Cosmetology,COSM,30,CEBALLOS B A,8,,,,,,,,,3,,11
2015,fall,Cosmetology,COSM,30,IJAMES S V,5,17,5,,3,,,,,4,,34
2015,fall,Cosmetology,COSM,31A,ROGERS JR J,14,9,,,1,,,,,2,,26
2015,fall,Cosmetology,COSM,31B,ASSADI J,6,10,2,1,1,,,,,1,,21
2015,fall,Cosmetology,COSM,31C,ASSADI J,7,9,3,1,1,,,,,2,,23
2015,fall,Cosmetology,COSM,31E,FELIX F,17,3,,,,,,,,7,,27
2015,fall,Cosmetology,COSM,36,ESTRADA FIGUERO I M,7,7,4,2,2,,,,,3,,25
2015,fall,Cosmetology,COSM,36,ESTRADA FIGUERO I M,5,8,3,1,,,,,,11,,28
